Lang	Train	Dev	Tests
ita	"news_commentary_v14, GlobalVoices_2018Q4, EESC2017, rapid2016,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
izh	OPUS_Tatoeba_v20190709		
jak	OPUS_bible_uedin_v1		
jam	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
jav	"JW300,  OPUS_Tatoeba_v20190709, WikiMatrix_v1"		
jbo	"OPUS_GNOME_v1, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
jdt	OPUS_Tatoeba_v20190709		
jiv	OPUS_bible_uedin_v1		
jpn	"GlobalVoices_2018Q4, news_commentary_v14, OPUS_OpenSubtitles_v1, OPUS_Tatoeba_v20190709, kftt_v1_train, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	"newsdev2020_jaen, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	kftt_v1_test
jsl	JW300		
kab	"OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628"		
kac	JW300		
kal	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
kam	"JW300, OPUS_Tatoeba_v20190709"		
kan	"JW300,   OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, pmindia_v1, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
kas	"OPUS_GNOME_v1, OPUS_wikimedia_v20190628"		
kat	"JW300,  OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
kau	"OPUS_GNOME_v1, "		
kaz	"news_commentary_v14,wiki_titles_v1, OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	"newsdev2019_kken, newstest2019_kken, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
kbh	OPUS_bible_uedin_v1		
kbp	JW300		
kea	JW300		
kek	"JW300, OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1"		
kha	OPUS_Tatoeba_v20190709		
khm	"GlobalVoices_2018Q4, JW300, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train"	"wikipedia_dev_kmen, OPUS100v1_dev, OPUS100v1_test"	wikipedia_devtest_kmen
kik	"JW300,  OPUS_wikimedia_v20190628"		
kin	"JW300,   OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
kir	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
kjh	OPUS_Tatoeba_v20190709		
kmb	JW300		
kmr	JW300		
koi	OPUS_Tatoeba_v20190709		
kok	OPUS_Ubuntu_v14_10		
kom	OPUS_wikimedia_v20190628		
kon	JW300		
koo	JW300		
kor	"GlobalVoices_2018Q4,JW300,OPUS_Tanzil_v1,OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
kpv	OPUS_Tatoeba_v20190709		
kqn	JW300		
kri	JW300		
krl	OPUS_Tatoeba_v20190709		
ksh	" OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
kss	JW300		
ksw	JW300		
kua	"JW300, "		
kum	OPUS_Tatoeba_v20190709		
kur	"GlobalVoices_2018Q4, OPUS_Bianet_v1,   OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
kvk	JW300		
kwn	JW300		
kwy	JW300		
lad	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
lam	JW300		
lao	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
lat	"OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628, WikiMatrix_v1"		
lav	"EESC2017, rapid2016, EMA2016, europarl_v7, OPUS_DGT_v2019, OPUS_EMEA_v3, OPUS100v1_train"	"newsdev2017_lven, OPUS100v1_dev, OPUS100v1_test"	newstest2017_lven
